[2025-05-09 17:28:52,836] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:28:53,848] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:28:54,860] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:28:55,874] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:28:56,883] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:28:57,890] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:28:58,944] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:28:59,923] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:00,925] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:01,940] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:02,964] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:04,014] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:04,988] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:06,004] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:07,016] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:08,030] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:09,045] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:10,047] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:11,055] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:12,076] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:13,095] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:29:14,146] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
